Artist,Title
Wishbone Ash,Right Or Wrong
Aerosmith,This Little Light Of Mine
Fall Out Boy,"Dance, Dance"
Janis Joplin,Easy Rider
Moody Blues,Peak Hour
Gary Numan,Crazier
Pat Benatar,Temptation
'n Sync,Kiss Me At Midnight
Sia,Little Black Sandals
Hank Snow,I Keep Dreaming Of You All The Time
Marianne Faithfull,Blood In My Eyes
Queensryche,I Am I
Lou Reed,Hold On
Yello,Pinball Cha Cha
Helloween,Kill It
Kyla,I Feel For You
O.A.R.,Dareh Meyod
Alabama,Right Where I Am
Who,It's Hard
Justin Timberlake,Hallelujah
Yoko Ono,Light On The Other Side
Engelbert Humperdinck,Say Goodnight
Ne-Yo,Not Strong Enough
Kylie Minogue,If I Was Your Lover
Alice Cooper,Be With You Awhile
Louis Armstrong,Christmas In New Orleans
Nick Drake,One Of These Things First
Justin Timberlake,Summer Love
Nightwish,Whoever Brings The Night
R. Kelly,Bad Man
Neil Diamond,Be
The Temptations,The Way You Do The Things You Do
David Guetta,Think About You
Heart,I Give Up
Foreigner,Inside Information
Christina Aguilera,Move It
Kelly Clarkson,Forever Part Of Me
Hooverphonic,2 Wicky
The Jam,I Need You For Someone
Bonnie Raitt,Not Cause I Wanted To
Peter Cetera,Only Love Knows Why
Gino Vannelli,Father And Son
Overkill,Gasoline Dream
Chicago,Anyway You Want
Enrique Iglesias,Can You Hear Me
Pat Benatar,I've Got Papers On You
Quincy Punx,Cereal Killer
America,This Time
Dolly Parton,How Great Thou Art
John Denver,Don't Be Kind
Beautiful South,Last Waltz
Kenny Rogers,727 East Magnolia Avenue
Pretenders,No Guarantee
Olivia Newton-John,Landslide
Enigma,Sadeness (part 1)
Alan Parsons Project,(The System Of) Doctor Tarr And Professor Fether
Elvis Presley,Girl Of Mine
Ella Fitzgerald,I Remember You
Frankie Laine,"Laura, What's He Got That I Ain't Got"
YG,1Am
Ramones,My My Kind Of A Girl
Aerosmith,Gotta Love It
Bee Gees,Bury Me Down By The River
Chaka Khan,Eternity
W.A.S.P.,Rebel In The F.D.G.
Snoop Dogg,Doin' Too Much
Allman Brothers Band,Get On With Your Life
Michael Bolton,Save Me
Mary Black,Message Of Love
Rammstein,Feuerrader (English - Wheels Of Fire)
Dusty Springfield,All The King's Horses
Indigo Girls,Pushing The Needle Too Far
Wilson Phillips,Daniel
Joni Mitchell,I Don't Know Where I Stand
Yeah Yeah Yeahs,Let Me Know
Nitty Gritty Dirt Band,Roll The Stone Away
Eurythmics,We Two Are One
Vybz Kartel,Push It In (take It Out)
Extreme,Decadence Dance
Pogues,Five Green Queens And Jean
Yngwie Malmsteen,Razor Eater
You Am I,Sound As Ever
Pearl Jam,Gimme Some Truth
Green Day,Outlaws
Owl City,Deer In The Headlights
Gucci Mane,Decapitated
Linda Ronstadt,I've Got To Know
Oasis,Carnation
Gino Vannelli,Fallen In Love
Zeromancer,New Madonna
Opeth,The Apostle In Triumph
Indigo Girls,Peace Song
Scorpions,To Be No. 1
Waylon Jennings,Gonna Write A Letter
John Prine,My Own Best Friend
Lou Reed,Fly Into The Sun
Andy Williams,People
Loretta Lynn,I've Got Texas In My Heart
Indigo Girls,Southern Man
Kiss,Firehouse
Train,The Finish Line
Grand Funk Railroad,Ups And Downs
Hillsong,For This Cause
Glee,For Good
Pet Shop Boys,Vampires
Fall Out Boy,Thriller
Jason Mraz,After An Afternoon
Soundgarden,Missing
Justin Timberlake,Damn Girl
Incognito,Deep Waters
Regine Velasquez,Kung Maibabalik Ko Lang
New Order,Regret
Bee Gees,Craise Finton Kirk Royal Academy Of Arts
Carpenters,When I Fall In Love
George Strait,Love Is Everything
Red Hot Chili Peppers,Suck My Kiss
Heart,Raised On You
Perry Como,Especially For The Young
J Cole,You Got It
"Harry Connick, Jr.",Honestly Now
Joni Mitchell,I Wish I Were In Love Again
The Monkees,"Mary, Mary"
Religious Music,Go Tell It On The Mountain
Ultravox,Passionate Reply
Fabolous,The Get Back
Religious Music,Lift High The Cross
Morrissey,Margaret On The Guillotine
Vanessa Williams,Everlasting Love
Paul McCartney,Home
John Prine,You Got Gold
Phish,Bathtub Gin
Grand Funk Railroad,All You've Got Is Money
Paul Simon,For Emily
Bill Withers,Use Me
Kenny Chesney,Soul Of A Sailor
Ramones,I Can't Be
Elton John,Cold Highway
Tina Turner,If This Is Our Last Time
Queen Latifah,The Same Love That Made Me Laugh
Gloria Estefan,Along Came You
Chaka Khan,Losers In Love
Keith Urban,My Last Name
Hank Williams Jr.,Cross On The Highway
Michael Jackson,Heaven Can Wait
Andy Williams,A Song For You
Roxette,What's She Like?
Reo Speedwagon,Roll With The Changes
Christmas Songs,Don't Save It All For Christmas Day
Kate Bush,Get Out Of My House
Michael W. Smith,You Are Holy
Yo La Tengo,Moonrock Mambo
Paul McCartney,Lonely Road
UB40,Sins Of The Fathers
The Killers,Neon Tiger
Grateful Dead,Lazy Lightnin'
Heart,Seasons
XTC,In Another Life
Kirk Franklin,Love Song
Everclear,The Good Witch Of The North
Leann Rimes,Break Me Down
Megadeth,The Killing Road
NOFX,Shower Days
W.A.S.P.,Mean Man
Barbra Streisand,"Hello, Dolly!"
Indigo Girls,Midnight Train To Georgia
Whitney Houston,Heartbreak Hotel
Robbie Williams,Mr. Bojangles
Nat King Cole,Frosty The Snowman
Louis Armstrong,Sun Showers
David Allan Coe,Bright Morning Light
Helloween,"Mirror, Mirror"
Judds,John Deere Tractor
Chris Rea,Evil No.2
Dusty Springfield,Let Me Love You Once Before You Go
Kenny Rogers,If You Want To Find Love
Frankie Laine,Riders In The Sky
Wanda Jackson,Cowboy Yodel
Faces,Jealous Guy
Weird Al Yankovic,TMZ
Nick Cave,The Dim Locator
John Denver,American Child
Leonard Cohen,Love Itself
Amy Grant,Santa's Reindeer Ride
Nitty Gritty Dirt Band,Colorado Christmas
Jason Mraz,Eyes Open
Engelbert Humperdinck,Am I That Easy To Forget
Linkin Park,What We Don't Know
Michael Jackson,If'n I Was God
Steely Dan,I.G.Y.
Fastball,Black Rain
Gucci Mane,I Shook Them Haters Off
Glen Campbell,These Days
Def Leppard,Day After Day
Iggy Pop,Candy
Clash,Train In Vain
Kris Kristofferson,The Devil To Pay
Bing Crosby,Swinging on A Star
America,Muskrat Love
Norah Jones,It's Gonna Be
Green Day,Chocolate Rain
Rush,Before And After
Billie Holiday,It's Not For Me To Say
Erasure,"Truly, Madly, Deeply"
Judy Garland,Alone Together
Poison,Body Talk
Faith No More,The Real Thing
Nickelback,Bottoms Up
Blur,End Of A Century
Alphaville,C Me Thru
Kinks,Here Comes Yet Another Day
Michael Jackson,Just A Little Bit Of You
Neil Young,Bite The Bullet
Irving Berlin,I'm Putting All My Eggs In One Basket
Unseen,Children Of The Revolution
Ice Cube,Jack N The Box
Judy Garland,Sleep My Baby Sleep
America,These Brown Eyes
Oscar Hammerstein,Oklahoma
Hank Williams Jr.,Thanks A Lot
Gloria Estefan,Christmas Auld Lang Syne
Misfits,Bruiser
Indigo Girls,Holy City
Blur,Daisy Bell
O.A.R.,Dakota
Cheap Trick,Walk Away
Grateful Dead,Black Throated Wind
Rick Astley,I Don't Want To Lose Her
Wishbone Ash,The Ring
Nina Simone,Consummation
Paul McCartney,Love In Song
Boney M.,Kalimba De Luna
Hank Williams,No No Joe
Helloween,Mankind
Michael Bolton,This River
Luther Vandross,It's Hard For Me To Say
Olly Murs,Grow Up
Ray Charles,That Lucky Old Sun
Gino Vannelli,None So Beautiful
Ultravox,Accent On Youth
Eric Clapton,Bell Bottom Blues
Josh Groban,Silent Night
Drake,Do It Now
Michael W. Smith,Mighty To Save
Britney Spears,Interlude
Metallica,All Nightmare Long
Yngwie Malmsteen,Caught In The Middle
Genesis,One Man's Fool
Andy Williams,Mary's Little Boy Child
Bette Midler,I Shall Be Released
Hooverphonic,Satin Doll
Bee Gees,2 Years On
Louis Armstrong,Don't Fence Me In
Everclear,Portland Rain
Bette Midler,Heart Over Head
Helloween,Don't Spit On My Mind
John Martyn,Let The Good Things Come
Pink Floyd,Fearless
Perry Como,In The Still Of The Night
Natalie Grant,Don't Want To Make A Move
Tori Amos,Not Dying Today
Rod Stewart,Nevertheless
Wiz Khalifa,Cabana
Kris Kristofferson,The Fighter
Beautiful South,Get Here
Nat King Cole,"Let Me Tell You, Babe"
Europe,Lights And Shadows
Tom Jones,My Foolish Heart
Dream Theater,Raise The Knife
Emmylou Harris,Goodbye
Ween,The Mollusk
Metallica,Low Man's Lyric
Cher,A Young Girl
Il Divo,Wasted Time
Weezer,Odd Couple
Nightwish,Dead Boy's Poem
Celine Dion,Immortality
Train,It's About You
Devo,All Of Us
Radiohead,My Iron Lung
Randy Travis,In A Heart Like Mine
Genesis,Back In N.Y.C.
Barbra Streisand,Gotta Move
Lloyd Cole,She's A Girl And I'm A Man
Guns N' Roses,"It Taste Good, Don't It?"
George Jones,Ain't Nobody Gonna Miss Me
Josh Groban,Anthem
Lionel Richie,Stand Down
Oasis,Keep The Dream Alive
Nick Drake,Outside
Modern Talking,Independent Girl
Allman Brothers Band,Nancy
Ray Boltz,Always Be A Child
Ice Cube,Trespass
Fastball,Airstream
Bruce Springsteen,Kingdom Of Days
Dean Martin,Just A Little Bit South Of North Carolina
Elvis Costello,Jimmie Standing In The Rain
James Taylor,Only For Me
The Beatles,Golden Slumbers
Death,Poison (Rehearsal 1984)
Old 97's,Broadway
Roy Orbison,Hey Good Lookin'
Moody Blues,My Song
George Strait,A Real Good Place To Start
Roxy Music,Over You
Rod Stewart,Makin' Whoopee
Richard Marx,Teacher I Need You
Christmas Songs,"Good Christian Men, Rejoice"
Scorpions,In Search Of The Peace Of Mind
Ten Years After,I Don't Know That You Don't Know My Name
Steely Dan,Monkey In Your Soul
Randy Travis,Shopping For Dresses
Tom T. Hall,One Of The Mysteries Of Life
Bee Gees,Love Me
Rod Stewart,Angel
Iggy Pop,Gimme Danger
Bob Rivers,Burgers On The Grill
Fastball,Rampart Street
Santana,One Chain (Don't Make No Prison)
Moody Blues,Have You Heard
Tim McGraw,Highway Don't Care
Rolling Stones,Hitch Hike
Wishbone Ash,Mountainside
Gloria Estefan,Heart With Your Name On It
Ramones,"Baby, I Love You"
Bryan White,That's Another Song
Lady Gaga,Born This Way
Selah,Press On
Johnny Cash,A Half A Mile A Day
Pat Benatar,Let's Stay Together
XTC,Pink Thing
The Monkees,Rosemarie
Electric Light Orchestra,Every Night
Yo La Tengo,Madeline
Bing Crosby,Please
Bob Dylan,Got My Mind Made Up
Hillsong,Everything To Me
Weezer,Trainwrecks
Beach Boys,Let Him Run Wild
Religious Music,Angels Among Us
Depeche Mode,I Want It All
Erasure,Tell It To Me
Nat King Cole,Say It Isn't So
John Legend,I Wish I Knew How It Would Feel to Be Free
Pearl Jam,Letter To The Dead
Mc Hammer,Better Run Run
Ariel Rivera,Ayoko Na Sana
Air Supply,Heart Of The Rose
Ween,Push Th' Little Daisies
UB40,Food For Thought
Fiona Apple,Sitting In Limbo
Janis Joplin,I Need A Man To Love
Xavier Rudd,Silence
Neil Young,Devil's Sidewalk
Avril Lavigne,Sometimes
Conway Twitty,Big Town
Whitney Houston,Look Into Your Heart
Kenny Rogers,Heed The Call
Evanescence,October
Cliff Richard,My Kinda Life
Joni Mitchell,Conversation
Lady Gaga,Til It Happens To You
Miley Cyrus,Who Said
Queen,Queen Of Groucho
Xzibit,Spread It Out
Aerosmith,Dream On
Bryan White,You're Still Beautiful To Me
Clash,Dictator
