Artist,Title
Twenty One Pilots ,Morph
Young Dolph ,1 Scale
Chad Focus ,Get to the Money
Ed Sheeran ,2step
Demi Lovato ,Met Him Last Night
Lil Nas X ,DONT WANT IT
Dan + Shay ,Speechless
Kid Cudi ,She Knows This
Polo G ,Heartless
SNBRN ,Raindrops
Galantis ,In My Head
Outkast ,Ms. Jackson
Young Stoner Life ,Ski
DJ Snake ,SG
Shawn Hook ,Sound Of Your Heart
benny blanco ,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)"
Galantis ,Girls On Boys
Mike Posner ,Song About You
The Chainsmokers ,iPad
Green Day ,Holiday / Boulevard of Broken Dreams
Russ ,Private
Logic ,ICONIC (ft. Jaden Smith)
Dreamville ,Big Black Truck
Post Malone ,Wow.
Snow Patrol ,Chasing Cars
Lauv ,Invisible Things
Gucci Mane ,Out Do Ya
Chris Stapleton ,More Of You
AJR ,The DJ Is Crying For Help
Future ,High Demand
A$AP Mob ,Walk On Water
Kanye West ,Real Friends
Lil Skies ,When I’m Wasted
Rod Wave ,Forever
MAX ,The Other Side
iann dior ,Sick and Tired
The Neighbourhood ,You Get Me So High
Bebe Rexha ,(Not) The One
Fall Out Boy ,My Songs Know What You Did In The Dark (Light Em Up)
Offset ,Ric Flair Drip (& Metro Boomin)
Lil Yachty ,G.I. Joe
Eric Church ,Give Me Back My Hometown
A$AP Rocky ,Cocky
Blueface ,Thotiana
Oliver Tree ,Let Me Down
Nicki Minaj ,Chun Swae
Post Malone ,Spoil My Night
Aminé ,Woodlawn
Khalid ,Young Dumb & Broke
Meghan Trainor ,NO EXCUSES
Yo Gotti ,Pose
Post Malone ,Psycho
Maroon 5 ,Wait
G,"Eazy  Saw It Coming (from the ""Ghostbusters"" Original Motion Picture Soundtrack)"
Offset ,How Did I Get Here
Pedro Capó ,Calma  Remix
Rihanna ,Sledgehammer
Hotboii ,Nobody Special
Nat King Cole ,"Caroling, Caroling"
Shakira ,Te Felicito
Ariana Grande ,"break up with your girlfriend, i'm bored"
Drake ,9
Sia ,No New Friends
Aly & AJ ,Potential Breakup Song
Gorillaz ,New Gold
Takeoff ,None To Me
Russ ,HANDSOMER (Remix) (Feat. Ktlyn)
Ellie Goulding ,Something In The Way You Move
LÉON ,Tired of Talking
BTS ,Outro: Tear
Demi Lovato ,Cool for the Summer
Tee Grizzley ,Satish
Soundgarden ,Fell On Black Days
Kane Brown ,Be Like That
Don Toliver ,Euphoria
Gunna ,too easy (Remix)
Rae Sremmurd ,No Flex Zone
Lil Tecca ,Never Left
Christina Aguilera ,Accelerate
Lil Yachty ,Top Down
Dave ,Wanna Know Remix
Katy Perry ,Last Friday Night (T.G.I.F.)
Twenty One Pilots ,The Judge
Lana Del Rey ,In My Feelings
Kygo ,This Town
Logic ,COMMANDO
Post Malone ,Internet
ILOVEMAKONNEN ,Tuesday
Bing Crosby ,Frosty The Snowman  Remastered 2006
Mac DeMarco ,For the First Time
Logic ,I Am The Greatest
Nick Jonas ,Chainsaw
SALES ,Pope Is a Rockstar
Smokepurpp ,123
The Beach Boys ,Little Saint Nick  1991 Remix
Halsey ,Now Or Never
Pentatonix ,White Winter Hymnal
Tame Impala ,Posthumous Forgiveness
Pyotr Ilyich Tchaikovsky ,"The Nutcracker, Op. 71: Act II Tableau 3: Variation 2: Dance of the SugarPlum Fairy"
Mac Miller ,Cinderella
Thomas Rhett ,Country Again
YG ,My Nigga
Morgan Wallen ,More Than My Hometown
Stevie Wonder ,Someday At Christmas
21 Savage ,break da law
Isaiah Rashad ,Darkseid
Takeoff ,She Gon Wink
XXXTENTACION ,4Peat
Kanye West ,Jesus Lord pt 2
Young Thug ,The London
Aventura ,Volví
OneRepublic ,Counting Stars
Dua Lipa ,Kiss and Make Up
Famous Dex ,Nervous
blackbear ,gucci linen
NF ,PRIDEFUL
J. Cole ,Love Yourz
Gucci Mane ,Last Time
ZHU ,Automatic
Jon Bellion ,Woke The F*ck Up
PARTYNEXTDOOR ,PGT
Swae Lee ,Someone Said
Migos ,Avalanche
DJ Khaled ,I DID IT
Rich The Kid ,Plug Walk
Lil Peep ,Fingers
BTS ,Dynamite
One Direction ,Stockholm Syndrome
Lil Baby ,Frozen
Tinashe ,2 On
NAV ,Up
blackbear ,anxiety
Seeb ,What Do You Love
Masked Wolf ,Astronaut In The Ocean
Lady Gaga ,Just Dance
Kiiara ,Gold
Migos ,Emoji A Chain
Michelle Williams ,Tightrope
j,hope  Future
Miley Cyrus ,D.R.E.A.M.
Juice WRLD ,ON GOD
21 Savage ,Money Convo
Jason Aldean ,Lights Come On
Lil Pump ,Boss
Machine Gun Kelly ,drunk face
Nicki Minaj ,Changed It
Brett Eldredge ,No Stopping You
Trippie Redd ,Demon Time
Glass Animals ,I Don't Wanna Talk (I Just Wanna Dance)
Stray Kids ,CASE 143
DaBaby ,PRACTICE
Trippie Redd ,Fire Starter
J. Cole ,Power Trip
Mason Ramsey ,Famous
Lil Uzi Vert ,Lotus
Stanaj ,Romantic  NOTD Remix
$uicideboy$ ,"If SelfDestruction Was an Olympic Event, I’d Be Tonya Harding"
Lil Tecca ,IDK
Post Malone ,I Like You (A Happier Song)
Jonas Brothers ,Rollercoaster
blackbear ,lil bit
