id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
3CRDbSIZ4r5MsZ0YwxuEkn,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,audio_features,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,https://api.spotify.com/v1/tracks/3CRDbSIZ4r5MsZ0YwxuEkn,https://api.spotify.com/v1/audio-analysis/3CRDbSIZ4r5MsZ0YwxuEkn,202333,4
3Yt2ph8Ko0JBANpdawzSF2,0.907,0.651,6,-5.661,0,0.312,0.0111,0.000433,0.108,0.637,147.026,audio_features,spotify:track:3Yt2ph8Ko0JBANpdawzSF2,https://api.spotify.com/v1/tracks/3Yt2ph8Ko0JBANpdawzSF2,https://api.spotify.com/v1/audio-analysis/3Yt2ph8Ko0JBANpdawzSF2,195547,4
68eVtmfWymIuldn5RO0DCa,0.692,0.387,10,-12.877,0,0.312,0.805,0.0229,0.11,0.537,159.848,audio_features,spotify:track:68eVtmfWymIuldn5RO0DCa,https://api.spotify.com/v1/tracks/68eVtmfWymIuldn5RO0DCa,https://api.spotify.com/v1/audio-analysis/68eVtmfWymIuldn5RO0DCa,108000,4
3D1ax6ZODRViNipjzlVXPR,0.693,0.643,4,-5.867,0,0.0828,0.138,0.0,0.108,0.477,95.055,audio_features,spotify:track:3D1ax6ZODRViNipjzlVXPR,https://api.spotify.com/v1/tracks/3D1ax6ZODRViNipjzlVXPR,https://api.spotify.com/v1/audio-analysis/3D1ax6ZODRViNipjzlVXPR,163450,4
0BI0hfbmqybnd3TezrDME3,0.538,0.512,4,-4.548,0,0.0262,0.22,0.0,0.101,0.12,144.978,audio_features,spotify:track:0BI0hfbmqybnd3TezrDME3,https://api.spotify.com/v1/tracks/0BI0hfbmqybnd3TezrDME3,https://api.spotify.com/v1/audio-analysis/0BI0hfbmqybnd3TezrDME3,204632,4
4vsJWPwWPS27gRM4oLjBNO,0.549,0.7,4,-6.07,0,0.0392,0.12,0.0,0.133,0.212,82.604,audio_features,spotify:track:4vsJWPwWPS27gRM4oLjBNO,https://api.spotify.com/v1/tracks/4vsJWPwWPS27gRM4oLjBNO,https://api.spotify.com/v1/audio-analysis/4vsJWPwWPS27gRM4oLjBNO,130927,4
3GJ4hzg4lrGwU51Y3VARbF,0.616,0.438,1,-5.968,1,0.0298,0.356,0.0,0.24,0.386,135.929,audio_features,spotify:track:3GJ4hzg4lrGwU51Y3VARbF,https://api.spotify.com/v1/tracks/3GJ4hzg4lrGwU51Y3VARbF,https://api.spotify.com/v1/audio-analysis/3GJ4hzg4lrGwU51Y3VARbF,213387,4
1xzUQMiCoY5pdego0pHMeV,0.39,0.724,6,-7.607,0,0.0889,0.162,0.0,0.393,0.312,165.945,audio_features,spotify:track:1xzUQMiCoY5pdego0pHMeV,https://api.spotify.com/v1/tracks/1xzUQMiCoY5pdego0pHMeV,https://api.spotify.com/v1/audio-analysis/1xzUQMiCoY5pdego0pHMeV,216560,4
2iP3unJbxZvRuqyrS0ocZy,0.776,0.64,7,-8.058,1,0.184,0.149,0.0,0.101,0.326,160.038,audio_features,spotify:track:2iP3unJbxZvRuqyrS0ocZy,https://api.spotify.com/v1/tracks/2iP3unJbxZvRuqyrS0ocZy,https://api.spotify.com/v1/audio-analysis/2iP3unJbxZvRuqyrS0ocZy,204000,4
6K1wAQh7qUvkNIT8DmaIP4,0.746,0.939,5,-2.881,0,0.0886,0.138,0.00161,0.171,0.948,139.989,audio_features,spotify:track:6K1wAQh7qUvkNIT8DmaIP4,https://api.spotify.com/v1/tracks/6K1wAQh7qUvkNIT8DmaIP4,https://api.spotify.com/v1/audio-analysis/6K1wAQh7qUvkNIT8DmaIP4,241714,4
