id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
59ze8lLaqAIamVOBx46RcQ,0.811,0.824,10,-3.614,0,0.178,0.0692,0.0,0.361,0.567,125.0,audio_features,spotify:track:59ze8lLaqAIamVOBx46RcQ,https://api.spotify.com/v1/tracks/59ze8lLaqAIamVOBx46RcQ,https://api.spotify.com/v1/audio-analysis/59ze8lLaqAIamVOBx46RcQ,161280,4
3BPFhsI1f4gFM3TaAaW7Dk,0.759,0.471,7,-10.159,1,0.0276,0.421,0.0,0.302,0.801,92.723,audio_features,spotify:track:3BPFhsI1f4gFM3TaAaW7Dk,https://api.spotify.com/v1/tracks/3BPFhsI1f4gFM3TaAaW7Dk,https://api.spotify.com/v1/audio-analysis/3BPFhsI1f4gFM3TaAaW7Dk,123040,4
0a7BloCiNzLDD9qSQHh5m7,0.622,0.961,11,-3.198,0,0.154,0.00523,0.0,0.0854,0.449,114.452,audio_features,spotify:track:0a7BloCiNzLDD9qSQHh5m7,https://api.spotify.com/v1/tracks/0a7BloCiNzLDD9qSQHh5m7,https://api.spotify.com/v1/audio-analysis/0a7BloCiNzLDD9qSQHh5m7,180267,4
1xKQbqQtQWrtQS47fUJBtl,0.443,0.727,4,-7.951,1,0.145,0.263,0.000141,0.169,0.566,160.82,audio_features,spotify:track:1xKQbqQtQWrtQS47fUJBtl,https://api.spotify.com/v1/tracks/1xKQbqQtQWrtQS47fUJBtl,https://api.spotify.com/v1/audio-analysis/1xKQbqQtQWrtQS47fUJBtl,253333,4
4Q27I5G3W14hnYVi45oi2h,0.222,0.659,0,-9.942,1,0.0487,0.0169,2.09e-05,0.471,0.322,75.634,audio_features,spotify:track:4Q27I5G3W14hnYVi45oi2h,https://api.spotify.com/v1/tracks/4Q27I5G3W14hnYVi45oi2h,https://api.spotify.com/v1/audio-analysis/4Q27I5G3W14hnYVi45oi2h,344227,4
4QQEzkxcONBthDLfzqIh9S,0.545,0.578,2,-8.745,1,0.0406,0.0114,6.57e-05,0.0692,0.819,128.038,audio_features,spotify:track:4QQEzkxcONBthDLfzqIh9S,https://api.spotify.com/v1/tracks/4QQEzkxcONBthDLfzqIh9S,https://api.spotify.com/v1/audio-analysis/4QQEzkxcONBthDLfzqIh9S,238907,4
0vOkmmJEtjuFZDzrQSFzEE,0.741,0.58,4,-9.05,1,0.0304,0.117,3.31e-05,0.212,0.944,127.402,audio_features,spotify:track:0vOkmmJEtjuFZDzrQSFzEE,https://api.spotify.com/v1/tracks/0vOkmmJEtjuFZDzrQSFzEE,https://api.spotify.com/v1/audio-analysis/0vOkmmJEtjuFZDzrQSFzEE,171267,4
1RLCHxWeY8BXsZ9RwbjujE,0.706,0.939,9,-4.374,1,0.0316,0.0181,0.000125,0.31,0.912,118.019,audio_features,spotify:track:1RLCHxWeY8BXsZ9RwbjujE,https://api.spotify.com/v1/tracks/1RLCHxWeY8BXsZ9RwbjujE,https://api.spotify.com/v1/audio-analysis/1RLCHxWeY8BXsZ9RwbjujE,206827,4
1PXsUXSM3LF2XNSkmIldPb,0.365,0.466,2,-7.514,1,0.0418,0.161,6.68e-06,0.106,0.487,95.163,audio_features,spotify:track:1PXsUXSM3LF2XNSkmIldPb,https://api.spotify.com/v1/tracks/1PXsUXSM3LF2XNSkmIldPb,https://api.spotify.com/v1/audio-analysis/1PXsUXSM3LF2XNSkmIldPb,251267,4
5jcprGzyDUAq25Babtyuei,0.71,0.757,4,-8.149,1,0.0448,0.508,7.5e-05,0.417,0.962,119.675,audio_features,spotify:track:5jcprGzyDUAq25Babtyuei,https://api.spotify.com/v1/tracks/5jcprGzyDUAq25Babtyuei,https://api.spotify.com/v1/audio-analysis/5jcprGzyDUAq25Babtyuei,165453,4
